Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
2017,34,434,Ausland,Männlich
1900,35,2207,Schweiz,Weiblich
1900,35,1998,Ausland,Weiblich
1900,35,2373,Schweiz,Männlich
1900,35,2188,Ausland,Männlich
1950,35,201,Schweiz,Weiblich
1950,35,285,Ausland,Weiblich
1950,35,218,Schweiz,Männlich
1950,35,425,Ausland,Männlich
2017,35,108,Schweiz,Weiblich
2017,35,259,Ausland,Weiblich
2017,35,156,Schweiz,Männlich
2017,35,418,Ausland,Männlich
1900,36,2302,Schweiz,Weiblich
1900,36,1875,Ausland,Weiblich
1900,36,2382,Schweiz,Männlich
1900,36,2215,Ausland,Männlich
1950,36,179,Schweiz,Weiblich
1950,36,260,Ausland,Weiblich
1950,36,196,Schweiz,Männlich
1950,36,358,Ausland,Männlich
2017,36,97,Schweiz,Weiblich
2017,36,242,Ausland,Weiblich
2017,36,139,Schweiz,Männlich
2017,36,362,Ausland,Männlich
1900,37,2217,Schweiz,Weiblich
1900,37,1706,Ausland,Weiblich
1900,37,2181,Schweiz,Männlich
1900,37,2029,Ausland,Männlich
1950,37,140,Schweiz,Weiblich
1950,37,223,Ausland,Weiblich
1950,37,194,Schweiz,Männlich
1950,37,359,Ausland,Männlich
2017,37,84,Schweiz,Weiblich
2017,37,226,Ausland,Weiblich
2017,37,124,Schweiz,Männlich
2017,37,307,Ausland,Männlich
1900,38,2028,Schweiz,Weiblich
1900,38,1654,Ausland,Weiblich
1900,38,2223,Schweiz,Männlich
1900,38,1824,Ausland,Männlich
1950,38,115,Schweiz,Weiblich
1950,38,200,Ausland,Weiblich
1950,38,162,Schweiz,Männlich
1950,38,335,Ausland,Männlich
2017,38,71,Schweiz,Weiblich
2017,38,169,Ausland,Weiblich
2017,38,99,Schweiz,Männlich
2017,38,271,Ausland,Männlich
1900,39,2056,Schweiz,Weiblich
1900,39,1480,Ausland,Weiblich
1900,39,2183,Schweiz,Männlich
1900,39,1760,Ausland,Männlich
1950,39,113,Schweiz,Weiblich
1950,39,160,Ausland,Weiblich
1950,39,155,Schweiz,Männlich
1950,39,318,Ausland,Männlich
2017,39,71,Schweiz,Weiblich
2017,39,152,Ausland,Weiblich
2017,39,96,Schweiz,Männlich
2017,39,252,Ausland,Männlich
1900,40,1925,Schweiz,Weiblich
1900,40,1429,Ausland,Weiblich
1900,40,2074,Schweiz,Männlich
1900,40,1657,Ausland,Männlich
1950,40,107,Schweiz,Weiblich
1950,40,154,Ausland,Weiblich
1950,40,161,Schweiz,Männlich
1950,40,260,Ausland,Männlich
2017,40,63,Schweiz,Weiblich
2017,40,160,Ausland,Weiblich
2017,40,91,Schweiz,Männlich
2017,40,256,Ausland,Männlich
1900,41,1982,Schweiz,Weiblich
1900,41,1255,Ausland,Weiblich
1900,41,2026,Schweiz,Männlich
1900,41,1505,Ausland,Männlich
1950,41,71,Schweiz,Weiblich
1950,41,126,Ausland,Weiblich
1950,41,128,Schweiz,Männlich
1950,41,236,Ausland,Männlich
2017,41,52,Schweiz,Weiblich
2017,41,153,Ausland,Weiblich
2017,41,76,Schweiz,Männlich
2017,41,223,Ausland,Männlich
1900,42,1914,Schweiz,Weiblich
1900,42,1131,Ausland,Weiblich
1900,42,1994,Schweiz,Männlich
1900,42,1474,Ausland,Männlich
1950,42,103,Schweiz,Weiblich
1950,42,118,Ausland,Weiblich
1950,42,123,Schweiz,Männlich
1950,42,228,Ausland,Männlich
2017,42,42,Schweiz,Weiblich
2017,42,96,Ausland,Weiblich
2017,42,78,Schweiz,Männlich
2017,42,198,Ausland,Männlich
1900,43,1873,Schweiz,Weiblich
1900,43,1095,Ausland,Weiblich
1900,43,1963,Schweiz,Männlich
1900,43,1294,Ausland,Männlich
1950,43,61,Schweiz,Weiblich
1950,43,102,Ausland,Weiblich
1950,43,100,Schweiz,Männlich
1950,43,190,Ausland,Männlich
2017,43,52,Schweiz,Weiblich
2017,43,125,Ausland,Weiblich
2017,43,75,Schweiz,Männlich
2017,43,189,Ausland,Männlich
1900,44,1820,Schweiz,Weiblich
1900,44,1007,Ausland,Weiblich
1900,44,1967,Schweiz,Männlich
1900,44,1355,Ausland,Männlich
1950,44,63,Schweiz,Weiblich
1950,44,92,Ausland,Weiblich
1950,44,110,Schweiz,Männlich
1950,44,162,Ausland,Männlich
2017,44,46,Schweiz,Weiblich
2017,44,80,Ausland,Weiblich
2017,44,73,Schweiz,Männlich
2017,44,185,Ausland,Männlich
1900,45,1820,Schweiz,Weiblich
1900,45,935,Ausland,Weiblich
1900,45,2010,Schweiz,Männlich
1900,45,1206,Ausland,Männlich
1950,45,70,Schweiz,Weiblich
1950,45,83,Ausland,Weiblich
1950,45,101,Schweiz,Männlich
1950,45,156,Ausland,Männlich
2017,45,48,Schweiz,Weiblich
2017,45,91,Ausland,Weiblich
2017,45,72,Schweiz,Männlich
2017,45,146,Ausland,Männlich
1900,46,1797,Schweiz,Weiblich
1900,46,882,Ausland,Weiblich
1900,46,2095,Schweiz,Männlich
1900,46,1210,Ausland,Männlich
1950,46,80,Schweiz,Weiblich
1950,46,83,Ausland,Weiblich
1950,46,93,Schweiz,Männlich
1950,46,161,Ausland,Männlich
2017,46,56,Schweiz,Weiblich
2017,46,90,Ausland,Weiblich
2017,46,69,Schweiz,Männlich
2017,46,159,Ausland,Männlich
1900,47,1870,Schweiz,Weiblich
1900,47,868,Ausland,Weiblich
1900,47,2071,Schweiz,Männlich
1900,47,1084,Ausland,Männlich
1950,47,57,Schweiz,Weiblich
1950,47,71,Ausland,Weiblich
1950,47,85,Schweiz,Männlich
1950,47,153,Ausland,Männlich
2017,47,38,Schweiz,Weiblich
2017,47,73,Ausland,Weiblich
2017,47,66,Schweiz,Männlich
2017,47,154,Ausland,Männlich
1900,48,1881,Schweiz,Weiblich
1900,48,825,Ausland,Weiblich
1900,48,2021,Schweiz,Männlich
1900,48,1087,Ausland,Männlich
1950,48,77,Schweiz,Weiblich
1950,48,71,Ausland,Weiblich
1950,48,98,Schweiz,Männlich
1950,48,132,Ausland,Männlich
2017,48,47,Schweiz,Weiblich
2017,48,81,Ausland,Weiblich
2017,48,71,Schweiz,Männlich
2017,48,118,Ausland,Männlich
1900,49,1913,Schweiz,Weiblich
1900,49,851,Ausland,Weiblich
1900,49,2022,Schweiz,Männlich
1900,49,1052,Ausland,Männlich
1950,49,56,Schweiz,Weiblich
1950,49,65,Ausland,Weiblich
1950,49,100,Schweiz,Männlich
1950,49,108,Ausland,Männlich
2017,49,43,Schweiz,Weiblich
2017,49,71,Ausland,Weiblich
2017,49,63,Schweiz,Männlich
2017,49,108,Ausland,Männlich
1900,50,1950,Schweiz,Weiblich
1900,50,731,Ausland,Weiblich
1900,50,2021,Schweiz,Männlich
1900,50,963,Ausland,Männlich
1950,50,64,Schweiz,Weiblich
1950,50,61,Ausland,Weiblich
1950,50,88,Schweiz,Männlich
1950,50,132,Ausland,Männlich
2017,50,46,Schweiz,Weiblich
2017,50,65,Ausland,Weiblich
2017,50,82,Schweiz,Männlich
2017,50,117,Ausland,Männlich
1900,51,1902,Schweiz,Weiblich
1900,51,683,Ausland,Weiblich
1900,51,2008,Schweiz,Männlich
1900,51,914,Ausland,Männlich
1950,51,63,Schweiz,Weiblich
1950,51,60,Ausland,Weiblich
1950,51,70,Schweiz,Männlich
1950,51,111,Ausland,Männlich
2017,51,52,Schweiz,Weiblich
2017,51,39,Ausland,Weiblich
2017,51,56,Schweiz,Männlich
2017,51,85,Ausland,Männlich
1900,52,1945,Schweiz,Weiblich
1900,52,641,Ausland,Weiblich
1900,52,2010,Schweiz,Männlich
1900,52,926,Ausland,Männlich
1950,52,46,Schweiz,Weiblich
1950,52,59,Ausland,Weiblich
1950,52,78,Schweiz,Männlich
1950,52,107,Ausland,Männlich
2017,52,40,Schweiz,Weiblich
2017,52,44,Ausland,Weiblich
2017,52,62,Schweiz,Männlich
2017,52,99,Ausland,Männlich
1900,53,1858,Schweiz,Weiblich
1900,53,590,Ausland,Weiblich
1900,53,1890,Schweiz,Männlich
1900,53,834,Ausland,Männlich
1950,53,71,Schweiz,Weiblich
1950,53,43,Ausland,Weiblich
1950,53,73,Schweiz,Männlich
1950,53,103,Ausland,Männlich
2017,53,57,Schweiz,Weiblich
2017,53,39,Ausland,Weiblich
2017,53,54,Schweiz,Männlich
2017,53,77,Ausland,Männlich
1900,54,1838,Schweiz,Weiblich
1900,54,569,Ausland,Weiblich
1900,54,1773,Schweiz,Männlich
1900,54,740,Ausland,Männlich
1950,54,59,Schweiz,Weiblich
1950,54,53,Ausland,Weiblich
1950,54,60,Schweiz,Männlich
1950,54,100,Ausland,Männlich
2017,54,36,Schweiz,Weiblich
2017,54,33,Ausland,Weiblich
2017,54,58,Schweiz,Männlich
2017,54,75,Ausland,Männlich
1900,55,1781,Schweiz,Weiblich
1900,55,496,Ausland,Weiblich
1900,55,1654,Schweiz,Männlich
1900,55,707,Ausland,Männlich
1950,55,41,Schweiz,Weiblich
1950,55,41,Ausland,Weiblich
1950,55,57,Schweiz,Männlich
1950,55,69,Ausland,Männlich
2017,55,46,Schweiz,Weiblich
2017,55,37,Ausland,Weiblich
2017,55,48,Schweiz,Männlich
2017,55,59,Ausland,Männlich
1900,56,1799,Schweiz,Weiblich
1900,56,529,Ausland,Weiblich
1900,56,1648,Schweiz,Männlich
1900,56,669,Ausland,Männlich
1950,56,51,Schweiz,Weiblich
1950,56,27,Ausland,Weiblich
1950,56,68,Schweiz,Männlich
